title,author,price,publisher,isbn,contributor,date,rank,rank_last_week,weeks_on_list
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-05-12,14,0,8
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-05-12,15,14,10
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-05-11,1,3,46
DREAM TOWN,David Baldacci,0.00,Grand Central,1538719770,by David Baldacci,2022-05-11,2,1,2
CITY ON FIRE,Don Winslow,0.00,Morrow,0062851187,by Don Winslow,2022-05-11,3,0,1
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-05-11,4,5,158
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-05-11,5,7,21
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-05-11,6,4,44
SHADOW FIRE,Christine Feehan,0.00,Berkley,0593439120,by Christine Feehan,2022-05-11,7,0,1
THE GOOD LEFT UNDONE,Adriana Trigiani,0.00,Dutton,0593183320,by Adriana Trigiani,2022-05-11,8,0,1
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-05-11,9,10,8
THE INVESTIGATOR,John Sandford,0.00,Putnam,0593328698,by John Sandford,2022-05-11,10,9,3
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-05-11,11,11,16
BETTER OFF DEAD,Lee Child and Andrew Child,0.00,Dell,1984818538,by Lee Child and Andrew Child,2022-05-11,12,0,5
SEA OF TRANQUILITY,Emily St. John Mandel,0.00,Knopf,0593321448,by Emily St. John Mandel,2022-05-11,13,12,4
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-05-11,14,0,8
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-05-11,15,14,10
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-05-10,1,3,46
DREAM TOWN,David Baldacci,0.00,Grand Central,1538719770,by David Baldacci,2022-05-10,2,1,2
CITY ON FIRE,Don Winslow,0.00,Morrow,0062851187,by Don Winslow,2022-05-10,3,0,1
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-05-10,4,5,158
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-05-10,5,7,21
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-05-10,6,4,44
SHADOW FIRE,Christine Feehan,0.00,Berkley,0593439120,by Christine Feehan,2022-05-10,7,0,1
THE GOOD LEFT UNDONE,Adriana Trigiani,0.00,Dutton,0593183320,by Adriana Trigiani,2022-05-10,8,0,1
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-05-10,9,10,8
THE INVESTIGATOR,John Sandford,0.00,Putnam,0593328698,by John Sandford,2022-05-10,10,9,3
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-05-10,11,11,16
BETTER OFF DEAD,Lee Child and Andrew Child,0.00,Dell,1984818538,by Lee Child and Andrew Child,2022-05-10,12,0,5
SEA OF TRANQUILITY,Emily St. John Mandel,0.00,Knopf,0593321448,by Emily St. John Mandel,2022-05-10,13,12,4
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-05-10,14,0,8
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-05-10,15,14,10
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-05-09,1,3,46
DREAM TOWN,David Baldacci,0.00,Grand Central,1538719770,by David Baldacci,2022-05-09,2,1,2
CITY ON FIRE,Don Winslow,0.00,Morrow,0062851187,by Don Winslow,2022-05-09,3,0,1
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-05-09,4,5,158
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-05-09,5,7,21
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-05-09,6,4,44
SHADOW FIRE,Christine Feehan,0.00,Berkley,0593439120,by Christine Feehan,2022-05-09,7,0,1
THE GOOD LEFT UNDONE,Adriana Trigiani,0.00,Dutton,0593183320,by Adriana Trigiani,2022-05-09,8,0,1
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-05-09,9,10,8
THE INVESTIGATOR,John Sandford,0.00,Putnam,0593328698,by John Sandford,2022-05-09,10,9,3
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-05-09,11,11,16
BETTER OFF DEAD,Lee Child and Andrew Child,0.00,Dell,1984818538,by Lee Child and Andrew Child,2022-05-09,12,0,5
SEA OF TRANQUILITY,Emily St. John Mandel,0.00,Knopf,0593321448,by Emily St. John Mandel,2022-05-09,13,12,4
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-05-09,14,0,8
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-05-09,15,14,10
DREAM TOWN,David Baldacci,0.00,Grand Central,1538719789,by David Baldacci,2022-05-08,1,0,1
BEAUTIFUL,Danielle Steel,0.00,Delacorte,1984821644,by Danielle Steel,2022-05-08,2,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-05-08,3,2,45
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-05-08,4,5,43
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-05-08,5,3,157
KINGDOM OF BONES,James Rollins,0.00,Morrow,0062893041,by James Rollins,2022-05-08,6,0,1
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-05-08,7,4,20
DEATH OF THE BLACK WIDOW,James Patterson and J.D. Barker,0.00,Grand Central,1538709813,by James Patterson and J.D. Barker,2022-05-08,8,0,1
THE INVESTIGATOR,John Sandford,0.00,Putnam,0593328698,by John Sandford,2022-05-08,9,1,2
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-05-08,10,6,7
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-05-08,11,8,15
SEA OF TRANQUILITY,Emily St. John Mandel,0.00,Knopf,0593321448,by Emily St. John Mandel,2022-05-08,12,10,3
PART OF YOUR WORLD,Ab Jimenez,0.00,Forever,1538704374,by Abby Jimenez,2022-05-08,13,0,1
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-05-08,14,14,9
WHAT HAPPENED TO THE BENNETTS,Lisa Scottoline,0.00,Putnam,0525539670,by Lisa Scottoline,2022-05-08,15,11,4
DREAM TOWN,David Baldacci,0.00,Grand Central,1538719789,by David Baldacci,2022-05-07,1,0,1
BEAUTIFUL,Danielle Steel,0.00,Delacorte,1984821644,by Danielle Steel,2022-05-07,2,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-05-07,3,2,45
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-05-07,4,5,43
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-05-07,5,3,157
KINGDOM OF BONES,James Rollins,0.00,Morrow,0062893041,by James Rollins,2022-05-07,6,0,1
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-05-07,7,4,20
DEATH OF THE BLACK WIDOW,James Patterson and J.D. Barker,0.00,Grand Central,1538709813,by James Patterson and J.D. Barker,2022-05-07,8,0,1
THE INVESTIGATOR,John Sandford,0.00,Putnam,0593328698,by John Sandford,2022-05-07,9,1,2
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-05-07,10,6,7
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-05-07,11,8,15
SEA OF TRANQUILITY,Emily St. John Mandel,0.00,Knopf,0593321448,by Emily St. John Mandel,2022-05-07,12,10,3
PART OF YOUR WORLD,Ab Jimenez,0.00,Forever,1538704374,by Abby Jimenez,2022-05-07,13,0,1
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-05-07,14,14,9
WHAT HAPPENED TO THE BENNETTS,Lisa Scottoline,0.00,Putnam,0525539670,by Lisa Scottoline,2022-05-07,15,11,4
DREAM TOWN,David Baldacci,0.00,Grand Central,1538719789,by David Baldacci,2022-05-06,1,0,1
BEAUTIFUL,Danielle Steel,0.00,Delacorte,1984821644,by Danielle Steel,2022-05-06,2,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-05-06,3,2,45
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-05-06,4,5,43
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-05-06,5,3,157
KINGDOM OF BONES,James Rollins,0.00,Morrow,0062893041,by James Rollins,2022-05-06,6,0,1
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-05-06,7,4,20
DEATH OF THE BLACK WIDOW,James Patterson and J.D. Barker,0.00,Grand Central,1538709813,by James Patterson and J.D. Barker,2022-05-06,8,0,1
THE INVESTIGATOR,John Sandford,0.00,Putnam,0593328698,by John Sandford,2022-05-06,9,1,2
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-05-06,10,6,7
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-05-06,11,8,15
SEA OF TRANQUILITY,Emily St. John Mandel,0.00,Knopf,0593321448,by Emily St. John Mandel,2022-05-06,12,10,3
PART OF YOUR WORLD,Ab Jimenez,0.00,Forever,1538704374,by Abby Jimenez,2022-05-06,13,0,1
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-05-06,14,14,9
WHAT HAPPENED TO THE BENNETTS,Lisa Scottoline,0.00,Putnam,0525539670,by Lisa Scottoline,2022-05-06,15,11,4
DREAM TOWN,David Baldacci,0.00,Grand Central,1538719789,by David Baldacci,2022-05-05,1,0,1
BEAUTIFUL,Danielle Steel,0.00,Delacorte,1984821644,by Danielle Steel,2022-05-05,2,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-05-05,3,2,45
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-05-05,4,5,43
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-05-05,5,3,157
KINGDOM OF BONES,James Rollins,0.00,Morrow,0062893041,by James Rollins,2022-05-05,6,0,1
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-05-05,7,4,20
DEATH OF THE BLACK WIDOW,James Patterson and J.D. Barker,0.00,Grand Central,1538709813,by James Patterson and J.D. Barker,2022-05-05,8,0,1
THE INVESTIGATOR,John Sandford,0.00,Putnam,0593328698,by John Sandford,2022-05-05,9,1,2
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-05-05,10,6,7
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-05-05,11,8,15
SEA OF TRANQUILITY,Emily St. John Mandel,0.00,Knopf,0593321448,by Emily St. John Mandel,2022-05-05,12,10,3
PART OF YOUR WORLD,Ab Jimenez,0.00,Forever,1538704374,by Abby Jimenez,2022-05-05,13,0,1
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-05-05,14,14,9
WHAT HAPPENED TO THE BENNETTS,Lisa Scottoline,0.00,Putnam,0525539670,by Lisa Scottoline,2022-05-05,15,11,4
DREAM TOWN,David Baldacci,0.00,Grand Central,1538719789,by David Baldacci,2022-05-04,1,0,1
BEAUTIFUL,Danielle Steel,0.00,Delacorte,1984821644,by Danielle Steel,2022-05-04,2,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-05-04,3,2,45
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-05-04,4,5,43
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-05-04,5,3,157
KINGDOM OF BONES,James Rollins,0.00,Morrow,0062893041,by James Rollins,2022-05-04,6,0,1
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-05-04,7,4,20
DEATH OF THE BLACK WIDOW,James Patterson and J.D. Barker,0.00,Grand Central,1538709813,by James Patterson and J.D. Barker,2022-05-04,8,0,1
THE INVESTIGATOR,John Sandford,0.00,Putnam,0593328698,by John Sandford,2022-05-04,9,1,2
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-05-04,10,6,7
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-05-04,11,8,15
SEA OF TRANQUILITY,Emily St. John Mandel,0.00,Knopf,0593321448,by Emily St. John Mandel,2022-05-04,12,10,3
PART OF YOUR WORLD,Ab Jimenez,0.00,Forever,1538704374,by Abby Jimenez,2022-05-04,13,0,1
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-05-04,14,14,9
WHAT HAPPENED TO THE BENNETTS,Lisa Scottoline,0.00,Putnam,0525539670,by Lisa Scottoline,2022-05-04,15,11,4
DREAM TOWN,David Baldacci,0.00,Grand Central,1538719789,by David Baldacci,2022-05-03,1,0,1
BEAUTIFUL,Danielle Steel,0.00,Delacorte,1984821644,by Danielle Steel,2022-05-03,2,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-05-03,3,2,45
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-05-03,4,5,43
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-05-03,5,3,157
KINGDOM OF BONES,James Rollins,0.00,Morrow,0062893041,by James Rollins,2022-05-03,6,0,1
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-05-03,7,4,20
DEATH OF THE BLACK WIDOW,James Patterson and J.D. Barker,0.00,Grand Central,1538709813,by James Patterson and J.D. Barker,2022-05-03,8,0,1
THE INVESTIGATOR,John Sandford,0.00,Putnam,0593328698,by John Sandford,2022-05-03,9,1,2
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-05-03,10,6,7
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-05-03,11,8,15
SEA OF TRANQUILITY,Emily St. John Mandel,0.00,Knopf,0593321448,by Emily St. John Mandel,2022-05-03,12,10,3
PART OF YOUR WORLD,Ab Jimenez,0.00,Forever,1538704374,by Abby Jimenez,2022-05-03,13,0,1
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-05-03,14,14,9
WHAT HAPPENED TO THE BENNETTS,Lisa Scottoline,0.00,Putnam,0525539670,by Lisa Scottoline,2022-05-03,15,11,4
DREAM TOWN,David Baldacci,0.00,Grand Central,1538719789,by David Baldacci,2022-05-02,1,0,1
BEAUTIFUL,Danielle Steel,0.00,Delacorte,1984821644,by Danielle Steel,2022-05-02,2,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-05-02,3,2,45
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-05-02,4,5,43
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-05-02,5,3,157
KINGDOM OF BONES,James Rollins,0.00,Morrow,0062893041,by James Rollins,2022-05-02,6,0,1
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-05-02,7,4,20
DEATH OF THE BLACK WIDOW,James Patterson and J.D. Barker,0.00,Grand Central,1538709813,by James Patterson and J.D. Barker,2022-05-02,8,0,1
THE INVESTIGATOR,John Sandford,0.00,Putnam,0593328698,by John Sandford,2022-05-02,9,1,2
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-05-02,10,6,7
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-05-02,11,8,15
SEA OF TRANQUILITY,Emily St. John Mandel,0.00,Knopf,0593321448,by Emily St. John Mandel,2022-05-02,12,10,3
PART OF YOUR WORLD,Ab Jimenez,0.00,Forever,1538704374,by Abby Jimenez,2022-05-02,13,0,1
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-05-02,14,14,9
WHAT HAPPENED TO THE BENNETTS,Lisa Scottoline,0.00,Putnam,0525539670,by Lisa Scottoline,2022-05-02,15,11,4
THE INVESTIGATOR,John Sandford,0.00,Putnam,0593328698,by John Sandford,2022-05-01,1,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-05-01,2,1,44
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-05-01,3,2,156
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-05-01,4,4,19
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-05-01,5,7,42
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-05-01,6,5,6
THE SACRED BRIDGE,Anne Hillerman,0.00,Harper,0062908383,by Anne Hillerman,2022-05-01,7,0,1
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-05-01,8,10,14
THE VISCOUNT WHO LOVED ME,Julia Quinn,0.00,Avon,None,by Julia Quinn,2022-05-01,9,6,14
SEA OF TRANQUILITY,Emily St. John Mandel,0.00,Knopf,0593321448,by Emily St. John Mandel,2022-05-01,10,3,2
WHAT HAPPENED TO THE BENNETTS,Lisa Scottoline,0.00,Putnam,0525539670,by Lisa Scottoline,2022-05-01,11,11,3
THE DUKE AND I,Julia Quinn,0.00,Avon,0063078902,by Julia Quinn,2022-05-01,12,9,18
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-05-01,13,14,7
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-05-01,14,12,8
THE LOVE HYPOTHESIS,Ali Hazelwood,0.00,Berkley,0593336828,by Ali Hazelwood,2022-05-01,15,0,20
THE INVESTIGATOR,John Sandford,0.00,Putnam,0593328698,by John Sandford,2022-04-30,1,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-04-30,2,1,44
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-04-30,3,2,156
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-04-30,4,4,19
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-04-30,5,7,42
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-04-30,6,5,6
THE SACRED BRIDGE,Anne Hillerman,0.00,Harper,0062908383,by Anne Hillerman,2022-04-30,7,0,1
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-04-30,8,10,14
THE VISCOUNT WHO LOVED ME,Julia Quinn,0.00,Avon,None,by Julia Quinn,2022-04-30,9,6,14
SEA OF TRANQUILITY,Emily St. John Mandel,0.00,Knopf,0593321448,by Emily St. John Mandel,2022-04-30,10,3,2
WHAT HAPPENED TO THE BENNETTS,Lisa Scottoline,0.00,Putnam,0525539670,by Lisa Scottoline,2022-04-30,11,11,3
THE DUKE AND I,Julia Quinn,0.00,Avon,0063078902,by Julia Quinn,2022-04-30,12,9,18
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-04-30,13,14,7
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-04-30,14,12,8
THE LOVE HYPOTHESIS,Ali Hazelwood,0.00,Berkley,0593336828,by Ali Hazelwood,2022-04-30,15,0,20
THE INVESTIGATOR,John Sandford,0.00,Putnam,0593328698,by John Sandford,2022-04-29,1,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-04-29,2,1,44
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-04-29,3,2,156
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-04-29,4,4,19
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-04-29,5,7,42
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-04-29,6,5,6
THE SACRED BRIDGE,Anne Hillerman,0.00,Harper,0062908383,by Anne Hillerman,2022-04-29,7,0,1
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-04-29,8,10,14
THE VISCOUNT WHO LOVED ME,Julia Quinn,0.00,Avon,None,by Julia Quinn,2022-04-29,9,6,14
SEA OF TRANQUILITY,Emily St. John Mandel,0.00,Knopf,0593321448,by Emily St. John Mandel,2022-04-29,10,3,2
WHAT HAPPENED TO THE BENNETTS,Lisa Scottoline,0.00,Putnam,0525539670,by Lisa Scottoline,2022-04-29,11,11,3
THE DUKE AND I,Julia Quinn,0.00,Avon,0063078902,by Julia Quinn,2022-04-29,12,9,18
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-04-29,13,14,7
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-04-29,14,12,8
THE LOVE HYPOTHESIS,Ali Hazelwood,0.00,Berkley,0593336828,by Ali Hazelwood,2022-04-29,15,0,20
THE INVESTIGATOR,John Sandford,0.00,Putnam,0593328698,by John Sandford,2022-04-28,1,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-04-28,2,1,44
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-04-28,3,2,156
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-04-28,4,4,19
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-04-28,5,7,42
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-04-28,6,5,6
THE SACRED BRIDGE,Anne Hillerman,0.00,Harper,0062908383,by Anne Hillerman,2022-04-28,7,0,1
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-04-28,8,10,14
THE VISCOUNT WHO LOVED ME,Julia Quinn,0.00,Avon,None,by Julia Quinn,2022-04-28,9,6,14
SEA OF TRANQUILITY,Emily St. John Mandel,0.00,Knopf,0593321448,by Emily St. John Mandel,2022-04-28,10,3,2
WHAT HAPPENED TO THE BENNETTS,Lisa Scottoline,0.00,Putnam,0525539670,by Lisa Scottoline,2022-04-28,11,11,3
THE DUKE AND I,Julia Quinn,0.00,Avon,0063078902,by Julia Quinn,2022-04-28,12,9,18
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-04-28,13,14,7
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-04-28,14,12,8
THE LOVE HYPOTHESIS,Ali Hazelwood,0.00,Berkley,0593336828,by Ali Hazelwood,2022-04-28,15,0,20
THE INVESTIGATOR,John Sandford,0.00,Putnam,0593328698,by John Sandford,2022-04-27,1,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-04-27,2,1,44
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-04-27,3,2,156
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-04-27,4,4,19
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-04-27,5,7,42
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-04-27,6,5,6
THE SACRED BRIDGE,Anne Hillerman,0.00,Harper,0062908383,by Anne Hillerman,2022-04-27,7,0,1
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-04-27,8,10,14
THE VISCOUNT WHO LOVED ME,Julia Quinn,0.00,Avon,None,by Julia Quinn,2022-04-27,9,6,14
SEA OF TRANQUILITY,Emily St. John Mandel,0.00,Knopf,0593321448,by Emily St. John Mandel,2022-04-27,10,3,2
WHAT HAPPENED TO THE BENNETTS,Lisa Scottoline,0.00,Putnam,0525539670,by Lisa Scottoline,2022-04-27,11,11,3
THE DUKE AND I,Julia Quinn,0.00,Avon,0063078902,by Julia Quinn,2022-04-27,12,9,18
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-04-27,13,14,7
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-04-27,14,12,8
THE LOVE HYPOTHESIS,Ali Hazelwood,0.00,Berkley,0593336828,by Ali Hazelwood,2022-04-27,15,0,20
THE INVESTIGATOR,John Sandford,0.00,Putnam,0593328698,by John Sandford,2022-04-26,1,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-04-26,2,1,44
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-04-26,3,2,156
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-04-26,4,4,19
